pProb,qProb,replicate,seqLen,aaaa,aaab,aaba,aabb,aabc,abaa,abab,abac,abba,abbb,abbc,abca,abcb,abcc,abcd,label
0.555,0.615,428,1000,0.013,0.052,0.052,0.048,0.087,0.051,0.062,0.098,0.044,0.041,0.074,0.078,0.107,0.088,0.105,0
0.295,0.275,401,1000,0.205,0.076,0.089,0.025,0.042,0.09,0.025,0.041,0.098,0.076,0.064,0.08,0.031,0.031,0.027,0
0.685,0.285,914,1000,0.045,0.109,0.093,0.097,0.175,0.027,0.039,0.063,0.038,0.029,0.056,0.058,0.054,0.065,0.052,1
0.125,0.585,135,1000,0.069,0.014,0.024,0.138,0.033,0.15,0.017,0.027,0.012,0.154,0.03,0.031,0.027,0.25,0.024,1
0.675,0.085,581,1000,0.094,0.014,0.164,0.015,0.017,0.019,0.119,0.017,0.016,0.18,0.023,0.014,0.27,0.02,0.018,1
0.465,0.325,166,1000,0.076,0.104,0.068,0.085,0.078,0.069,0.036,0.049,0.033,0.086,0.068,0.051,0.068,0.087,0.042,0
0.415,0.485,621,1000,0.04,0.073,0.069,0.098,0.095,0.08,0.033,0.055,0.042,0.06,0.057,0.081,0.053,0.111,0.053,1
0.665,0.315,703,1000,0.037,0.094,0.043,0.032,0.063,0.041,0.055,0.088,0.053,0.09,0.15,0.063,0.072,0.058,0.061,0
0.225,0.185,72,1000,0.333,0.086,0.116,0.109,0.034,0.088,0.019,0.017,0.012,0.08,0.019,0.018,0.015,0.046,0.008,0
0.545,0.165,484,1000,0.122,0.043,0.147,0.042,0.061,0.045,0.079,0.024,0.022,0.127,0.039,0.046,0.122,0.057,0.024,0
0.165,0.685,936,1000,0.043,0.011,0.133,0.021,0.029,0.145,0.022,0.035,0.121,0.025,0.041,0.267,0.039,0.037,0.031,1
0.305,0.395,264,1000,0.126,0.06,0.054,0.1,0.074,0.091,0.018,0.05,0.032,0.103,0.049,0.046,0.05,0.107,0.04,1
0.215,0.145,808,1000,0.387,0.071,0.071,0.083,0.02,0.088,0.015,0.016,0.011,0.129,0.019,0.015,0.018,0.051,0.006,1
0.515,0.455,904,1000,0.045,0.061,0.062,0.039,0.087,0.063,0.067,0.081,0.043,0.063,0.082,0.075,0.102,0.075,0.055,1
0.075,0.455,843,1000,0.149,0.022,0.179,0.01,0.012,0.165,0.008,0.013,0.152,0.013,0.018,0.203,0.022,0.021,0.013,1
0.235,0.605,184,1000,0.045,0.055,0.068,0.03,0.058,0.055,0.058,0.068,0.077,0.069,0.097,0.122,0.084,0.055,0.059,0
0.465,0.585,216,1000,0.033,0.056,0.062,0.04,0.08,0.059,0.032,0.07,0.084,0.052,0.097,0.132,0.065,0.072,0.066,1
0.585,0.685,84,1000,0.016,0.041,0.04,0.045,0.071,0.045,0.043,0.089,0.062,0.047,0.099,0.099,0.101,0.093,0.109,0
0.045,0.055,981,1000,0.77,0.047,0.03,0.002,0.002,0.042,0.054,0.006,0.001,0.033,0.003,0.003,0.005,0.002,0,1
0.075,0.485,555,1000,0.117,0.054,0.117,0.131,0.079,0.114,0.013,0.034,0.036,0.049,0.036,0.08,0.037,0.083,0.02,0
0.545,0.045,178,1000,0.188,0.011,0.008,0.087,0.008,0.22,0.006,0.019,0.012,0.2,0.02,0.009,0.015,0.193,0.004,0
0.435,0.195,92,1000,0.162,0.131,0.063,0.025,0.038,0.057,0.076,0.06,0.034,0.145,0.073,0.028,0.057,0.031,0.02,0
0.745,0.505,510,1000,0.023,0.044,0.067,0.044,0.087,0.038,0.068,0.083,0.053,0.057,0.088,0.08,0.103,0.08,0.085,1
0.065,0.525,143,1000,0.093,0.117,0.045,0.012,0.05,0.048,0.118,0.087,0.055,0.105,0.089,0.043,0.076,0.034,0.028,0
0.045,0.695,446,1000,0.028,0.059,0.059,0.039,0.077,0.05,0.058,0.098,0.047,0.059,0.091,0.084,0.092,0.082,0.077,0
0.725,0.645,529,1000,0.018,0.058,0.051,0.046,0.08,0.04,0.049,0.08,0.038,0.058,0.093,0.08,0.114,0.084,0.111,1
0.405,0.705,360,1000,0.028,0.041,0.051,0.054,0.089,0.049,0.045,0.092,0.039,0.045,0.094,0.093,0.087,0.107,0.086,0
0.685,0.645,476,1000,0.015,0.054,0.048,0.052,0.087,0.045,0.041,0.091,0.043,0.046,0.1,0.089,0.115,0.097,0.077,0
0.675,0.225,303,1000,0.045,0.123,0.111,0.122,0.232,0.03,0.013,0.043,0.02,0.036,0.046,0.049,0.051,0.044,0.035,1
0.705,0.175,91,1000,0.043,0.15,0.13,0.136,0.22,0.019,0.02,0.036,0.023,0.028,0.038,0.044,0.039,0.038,0.036,1
0.675,0.305,758,1000,0.053,0.109,0.039,0.022,0.07,0.095,0.092,0.176,0.033,0.022,0.056,0.063,0.055,0.067,0.048,1
0.685,0.025,558,1000,0.085,0.006,0.189,0.002,0.013,0.006,0.149,0.012,0.004,0.209,0.009,0.01,0.292,0.007,0.007,0
0.065,0.535,72,1000,0.099,0.16,0.011,0.011,0.012,0.173,0.166,0.277,0.007,0.01,0.012,0.02,0.014,0.015,0.013,1
0.285,0.415,154,1000,0.106,0.064,0.058,0.101,0.059,0.098,0.031,0.036,0.027,0.101,0.052,0.049,0.053,0.119,0.046,1
0.465,0.035,504,1000,0.269,0.011,0.247,0.004,0.005,0.199,0.006,0.013,0.069,0.012,0.007,0.137,0.008,0.009,0.004,1
0.265,0.605,687,1000,0.033,0.056,0.061,0.044,0.064,0.072,0.029,0.073,0.066,0.087,0.098,0.106,0.069,0.082,0.06,0
